note,title,author_hint,year,source_path,concepts
Paper - SI BhiCC Drug Testing ACS AMI Final,[SI] BhiCC Drug Testing ACS AMI Final,,,/Users/iyakavets/Downloads/Sorted_2026-05-09/PDFs/Research_Papers/%5BSI%5D_BhiCC_Drug_Testing_ACS_AMI_Final.pdf,Cancer and Therapeutics
Paper - 1-s2.0-S0272884222036471-main,1-s2.0-S0272884222036471-main,,,/Users/iyakavets/Downloads/Sorted_2026-05-09/PDFs/Research_Papers/1-s2.0-S0272884222036471-main.pdf,Research Papers
Paper - 1-s2.0-S0272884224059509-main,1-s2.0-S0272884224059509-main,,,/Users/iyakavets/Downloads/Sorted_2026-05-09/PDFs/Research_Papers/1-s2.0-S0272884224059509-main.pdf,Research Papers
Paper - 1-s2.0-S1385894725029535-main,1-s2.0-S1385894725029535-main,,,/Users/iyakavets/Downloads/Sorted_2026-05-09/PDFs/Research_Papers/1-s2.0-S1385894725029535-main.pdf,Research Papers
Paper - 1-s2.0-S259025712200030X-main,1-s2.0-S259025712200030X-main,,,/Users/iyakavets/Downloads/Sorted_2026-05-09/PDFs/Research_Papers/1-s2.0-S259025712200030X-main.pdf,Research Papers
Paper - 10.48550 arxiv.2501.06039,10.48550 arxiv.2501.06039,,,/Users/iyakavets/Downloads/Sorted_2026-05-09/PDFs/Research_Papers/10.48550_arxiv.2501.06039.pdf,Research Papers
Paper - 1010 001 dec2025 iy,1010 001 dec2025 iy,,2025,/Users/iyakavets/Downloads/Sorted_2026-05-09/PDFs/Research_Papers/1010_001_dec2025_iy.pdf,Research Papers
Paper - 10547921,10547921,,,/Users/iyakavets/Downloads/Sorted_2026-05-09/PDFs/Research_Papers/10547921.pdf,Research Papers
Paper - 184031 MEen,184031 MEen,,,/Users/iyakavets/Downloads/Sorted_2026-05-09/PDFs/Research_Papers/184031_MEen.pdf,Research Papers
Paper - 2020 iPSC Advances WadkinIntro Math Modelling,2020 iPSC Advances WadkinIntro Math Modelling,,2020,/Users/iyakavets/Downloads/Sorted_2026-05-09/PDFs/Research_Papers/2020_iPSC_Advances_WadkinIntro_Math_Modelling.pdf,iPSC and Stem Cells;Digital Twins and Modeling
Paper - 2023-09-01 UofT Lash Miller - Issued for 100 CD - Laboratories 1 1,2023-09-01 UofT Lash Miller - Issued for 100 CD - Laboratories 1 (1),,2023,/Users/iyakavets/Downloads/Sorted_2026-05-09/PDFs/Research_Papers/2023-09-01 UofT Lash Miller - Issued for 100_ CD - Laboratories 1 (1).pdf,Research Papers
Paper - 2023-09-01 UofT Lash Miller - Issued for 100 CD - Laboratories 1,2023-09-01 UofT Lash Miller - Issued for 100 CD - Laboratories 1,,2023,/Users/iyakavets/Downloads/Sorted_2026-05-09/PDFs/Research_Papers/2023-09-01 UofT Lash Miller - Issued for 100_ CD - Laboratories 1.pdf,Research Papers
Paper - 2025.02.14.638383v1.full 1,2025.02.14.638383v1.full (1),,2025,/Users/iyakavets/Downloads/Sorted_2026-05-09/PDFs/Research_Papers/2025.02.14.638383v1.full (1).pdf,Research Papers
Paper - 2025.02.14.638383v1.full,2025.02.14.638383v1.full,,2025,/Users/iyakavets/Downloads/Sorted_2026-05-09/PDFs/Research_Papers/2025.02.14.638383v1.full.pdf,Research Papers
Paper - 2025.04.28.651001v1.full,2025.04.28.651001v1.full,,2025,/Users/iyakavets/Downloads/Sorted_2026-05-09/PDFs/Research_Papers/2025.04.28.651001v1.full.pdf,Research Papers
Paper - 2025 07 12 Carpenter AACR,2025 07 12 Carpenter AACR,,2025,/Users/iyakavets/Downloads/Sorted_2026-05-09/PDFs/Research_Papers/2025_07_12_Carpenter_AACR.pdf,Research Papers
Paper - 2026P3,2026P3,,2026,/Users/iyakavets/Downloads/Sorted_2026-05-09/PDFs/Research_Papers/2026P3.pdf,Research Papers
Paper - 2026P4,2026P4,,2026,/Users/iyakavets/Downloads/Sorted_2026-05-09/PDFs/Research_Papers/2026P4.pdf,Research Papers
Paper - 2026P5,2026P5,,2026,/Users/iyakavets/Downloads/Sorted_2026-05-09/PDFs/Research_Papers/2026P5.pdf,Research Papers
